Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Minutes Listened,Ms Played
2020,September,0,Tōth,Juliette,3.2248,193488
2020,September,0,Jas Ratchford,Nobody Else to Call,4.879666667,292780
2020,September,0,Anjimile,Maker,2.472466667,148348
2020,September,0,Bon Iver,"Hey, Ma",3.611766667,216706
2020,September,0,Zack Villere,Sore Throat,0.707,42420
2020,September,0,Hayley Williams,Why We Ever,4.39,263400
2020,September,0,American Football,Uncomfortably Numb (feat. Hayley Williams),4.173633333,250418
2020,September,0,Mitski,Class of 2013,1.230166667,73810
2020,September,0,Shakey Graves,A World So Full of Love,2.865966667,171958
2020,September,0,Alfie Templeman,Yellow Flowers,3.1043,186258
2020,September,0,L.A. Salami,We'll Solve It After,4.591883333,275513
2020,September,0,Angelo De Augustine,"You Needed Love, I Needed You",3.0761,184566
2020,September,0,Skullcrusher,Two Weeks in December,0.931716667,55903
2020,September,0,Tomberlin,Seventeen,4.51875,271125
2020,September,0,Teenage Priest,Innocent,3.536083333,212165
2020,September,1,Field Medic,henna tattoo,2.429666667,145780
2020,September,1,Phoebe Bridgers,Savior Complex,4.027333333,241640
2020,September,0,Adam Melchor,Real Estate,3.6,216000
2020,September,0,Florist,Shadow Bloom,3.669816667,220189
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,0,Babygirl,I Wish I Never Met You,3.529066667,211744
2020,September,0,Slow Pulp,Idaho,4.097383333,245843
2020,September,0,Wasuremono,Are You OK?,4.39555,263733
2020,September,0,Palehound,Killer,4.170933333,250256
2020,September,0,Slow Pulp,High,2.54285,152571
2020,September,0,Sorry,Starstruck - Single Version,1.126916667,67615
2020,September,0,Soccer Mommy,I Think You're Alright,2.865366667,171922
2020,September,0,Daisy the Great,LaLa,1.95,117000
2020,September,0,Trace Mountains,Lost in the Country,5.37535,322521
2020,September,0,Good Morning,"Boy, I'm Just A Loser For Your Love",3.259883333,195593
2020,September,0,Lomelda,Wonder,2.193833333,131630
2020,September,0,Anna Burch,Can't Sleep,4.603033333,276182
2020,September,0,Field Medic,"the bottle's my lover, she's just my friend",0.323516667,19411
2020,September,0,Big Thief,UFOF,3.140216667,188413
2020,September,0,Runnner,Ur Name on a Grain of Rice,5.0263,301578
2020,September,0,Skullcrusher,Places/Plans,3.051933333,183116
2020,September,0,Frankie Cosmos,Wannago,3.300216667,198013
2020,September,0,Hovvdy,Cathedral,3.071816667,184309
2020,September,0,Ratboys,Elvis is in the Freezer,2.993066667,179584
2020,September,0,Weyes Blood,Movies,5.658066667,339484
2020,September,0,Crumb,Ghostride,1.416166667,84970
2020,September,0,Aluna,Body Pump,4.342516667,260551
2020,September,0,Aluna,Body Pump,0.1807,10842
2020,September,0,Aluna,The Recipe,3.366866667,202012
2020,September,0,Aluna,Ain't My Business,1.79705,107823
2020,September,0,Dijon,sweet thing,3.203666667,192220
2020,September,0,Shabazz Palaces,Fast Learner,3.159183333,189551
2020,September,0,Tourist,Last,4.908633333,294518
2020,September,0,Låpsley,Womxn,3.90755,234453
2020,September,1,Peach Pit,Shampoo Bottles,3.737766667,224266
2020,September,0,Nathaniel Rateliff & The Night Sweats,Don't Care Darlin',3.728,223680
2020,September,0,Easypeel,What A Woman,3.916816667,235009
2020,September,0,Meet Me @ The Altar,May the Odds Be in Your Favor,0.143233333,8594
2020,September,0,Local Natives,Dark Days [Feat. Sylvan Esso],3.0202,181212
2020,September,0,mxmtoon,fever dream,3.274666667,196480
2020,September,0,JFDR,Taking A Part Of Me,3.418283333,205097
2020,September,0,Black Pumas,Fast Car,0.467966667,28078
2020,September,0,Agnes Obel,Myopia,5.275783333,316547
2020,September,0,Nation of Language,Rush & Fever,4.009916667,240595
2020,September,0,caroline,Dark blue,0.00925,555
2020,September,0,The Lawrence Arms,"Last, Last Words",0.0231,1386
2020,September,1,Samia,Big Wheel,6.176666667,370600
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.3582,261492
2020,September,1,DaBaby,ROCKSTAR (feat. Roddy Ricch),3.028883333,181733
2020,September,1,24kGoldn,Mood (feat. iann dior),2.342083333,140525
2020,September,1,Subtle Pride,Gentle Girl,3.813066667,228784
2020,September,1,Hozier,"Wasteland, Baby!",3.319633333,199178
2020,September,1,Hozier,"Wasteland, Baby!",0.040533333,2432
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.3582,261492
2020,September,1,DaBaby,ROCKSTAR (feat. Roddy Ricch),3.028883333,181733
2020,September,1,24kGoldn,Mood (feat. iann dior),2.342083333,140525
2020,September,1,Subtle Pride,Gentle Girl,3.813066667,228784
2020,September,1,Hozier,"Wasteland, Baby!",4.4411,266466
2020,September,1,Kamasi Washington,Desire,4.61515,276909
2020,September,1,Kamasi Washington,Humility,2.7694,166164
2020,September,1,Kamasi Washington,Perspective,0.797883333,47873
2020,September,1,Kamasi Washington,Knowledge,3.865683333,231941
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),3.1848,191088
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),2.375433333,142526
2020,September,0,Pomme,On brûlera,3.455333333,207320
